交易日期,開盤,最高,最低,收盤,漲跌,5日均,10日均,20日均,60日均,5日乖離,10日乖離,月均乖離,60均乖離
1987/1/7,1063.1,1075.8,1063.1,1075.8,12.68,,,,,,,,
1987/1/8,1075.8,1084.5,1075.8,1084.5,8.73,,,,,,,,
1987/1/9,1084.5,1085.9,1084.5,1085.9,1.32,,,,,,,,
1987/1/10,1085.9,1098.0,1085.9,1098.0,12.09,,,,,,,,
1987/1/12,1098.0,1119.1,1098.0,1119.1,21.11,1092.6,,,,2.42%,,,
1987/1/13,1119.1,1119.1,1114.0,1114.0,-5.04,1100.3,,,,1.25%,,,
1987/1/14,1114.0,1117.8,1114.0,1117.8,3.8,1106.9,,,,0.98%,,,
1987/1/15,1117.8,1117.8,1113.5,1113.5,-4.31,1112.5,,,,0.09%,,,
1987/1/16,1113.5,1118.1,1113.5,1118.1,4.59,1116.5,,,,0.14%,,,
1987/1/17,1118.1,1129.7,1118.1,1129.7,11.6,1118.6,1105.6,,,0.99%,2.18%,,
1987/1/19,1129.7,1132.1,1129.7,1132.1,2.35,1122.2,1111.3,,,0.87%,1.87%,,
1987/1/20,1132.1,1133.1,1132.1,1133.1,1,1125.3,1116.1,,,0.69%,1.52%,,
1987/1/21,1133.1,1133.1,1122.7,1122.7,-10.4,1127.1,1119.8,,,-0.40%,0.26%,,
1987/1/22,1122.7,1131.9,1122.7,1131.9,9.28,1129.9,1123.2,,,0.18%,0.78%,,
1987/1/23,1131.9,1142.2,1131.9,1142.2,10.28,1132.4,1125.5,,,0.87%,1.48%,,
1987/1/24,1142.2,1150.3,1142.2,1150.3,8.04,1136.0,1129.1,,,1.25%,1.87%,,
1987/2/3,1150.3,1176.7,1150.3,1176.7,26.41,1144.7,1135.0,,,2.79%,3.67%,,
1987/2/4,1176.7,1177.3,1176.7,1177.3,0.61,1155.7,1141.4,,,1.87%,3.14%,,
1987/2/5,1177.3,1185.0,1177.3,1185.0,7.73,1166.3,1148.1,,,1.61%,3.22%,,
1987/2/6,1185.0,1193.4,1185.0,1193.4,8.43,1176.5,1154.5,1130.0,,1.44%,3.38%,5.61%,
1987/2/7,1193.4,1195.5,1193.4,1195.5,2.03,1185.6,1160.8,1136.0,,0.83%,2.99%,5.23%,
1987/2/9,1195.5,1206.0,1195.5,1206.0,10.49,1191.4,1168.1,1142.1,,1.22%,3.24%,5.59%,
1987/2/10,1206.0,1209.4,1206.0,1209.4,3.43,1197.8,1176.8,1148.3,,0.96%,2.77%,5.32%,
1987/2/11,1209.4,1223.6,1209.4,1223.6,14.23,1205.6,1185.9,1154.6,,1.50%,3.18%,5.98%,
1987/2/12,1223.6,1229.6,1223.6,1229.6,5.95,1212.8,1194.7,1160.1,,1.38%,2.92%,5.99%,
1987/2/13,1229.6,1229.6,1193.2,1193.2,-36.4,1212.3,1198.9,1164.0,,-1.58%,-0.48%,2.50%,
1987/2/14,1193.2,1203.7,1193.2,1203.7,10.51,1211.9,1201.6,1168.3,,-0.68%,0.17%,3.02%,
1987/2/16,1203.7,1215.7,1203.7,1215.7,12.05,1213.1,1205.5,1173.4,,0.21%,0.85%,3.60%,
1987/2/17,1215.7,1220.1,1215.7,1220.1,4.39,1212.4,1209.0,1178.5,,0.63%,0.92%,3.53%,
1987/2/18,1220.1,1220.1,1211.4,1211.4,-8.69,1208.8,1210.8,1182.6,,0.22%,0.05%,2.43%,
